Symbol,Year,Return
XOM,2009,7.49
XOM,2010,19.73
XOM,2011,-1.90
XOM,2012,7.31
XOM,2013,22.47
XOM,2014,6.03
XOM,2015,-3.13
XOM,2016,9.38
XOM,2017,-1.10
XOM,2018,7.43
XOM,2019,3.11
CVX,2009,4.92
CVX,2010,30.88
CVX,2011,13.88
CVX,2012,16.15
CVX,2013,8.84
CVX,2014,15.42
CVX,2015,15.43
CVX,2016,30.43
CVX,2017,17.82
CVX,2018,1.56
CVX,2019,3.67
DUK,2009,21.17
DUK,2010,4.49
DUK,2011,14.92
DUK,2012,2.16
DUK,2013,8.12
DUK,2014,13.08
DUK,2015,3.28
DUK,2016,-0.58
DUK,2017,10.74
DUK,2018,17.07
DUK,2019,9.23
ED,2009,27.97
ED,2010,20.70
ED,2011,25.54
ED,2012,9.63
ED,2013,9.27
ED,2014,21.97
ED,2015,8.65
ED,2016,9.27
ED,2017,10.79
ED,2018,-3.01
ED,2019,20.17
AEP,2009,19.84
AEP,2010,1.72
AEP,2011,20.78
AEP,2012,4.87
AEP,2013,16.76
AEP,2014,23.74
AEP,2015,1.26
AEP,2016,11.03
AEP,2017,18.82
AEP,2018,15.93
AEP,2019,17.07
SHW,2009,22.84
SHW,2010,37.82
SHW,2011,-4.12
SHW,2012,40.34
SHW,2013,9.73
SHW,2014,25.22
SHW,2015,-7.34
SHW,2016,2.34
SHW,2017,18.90
SHW,2018,7.05
SHW,2019,20.65
DD,2009,215.74
DD,2010,22.33
DD,2011,-11.59
DD,2012,5.95
DD,2013,34.39
DD,2014,20.56
DD,2015,17.80
DD,2016,24.30
DD,2017,9.66
DD,2018,-3.69
DD,2019,5.95
BA,2009,62.33
BA,2010,-1.42
BA,2011,31.43
BA,2012,4.53
BA,2013,70.61
BA,2014,8.49
BA,2015,3.01
BA,2016,32.54
BA,2017,70.15
BA,2018,-4.82
BA,2019,-11.46
UNP,2009,59.57
UNP,2010,47.62
UNP,2011,13.02
UNP,2012,-1.39
UNP,2013,11.04
UNP,2014,28.19
UNP,2015,-8.95
UNP,2016,34.91
UNP,2017,21.56
UNP,2018,18.89
UNP,2019,19.42
AMZN,2009,102.89
AMZN,2010,67.63
AMZN,2011,37.96
AMZN,2012,21.69
AMZN,2013,29.06
AMZN,2014,2.07
AMZN,2015,74.30
AMZN,2016,46.74
AMZN,2017,31.88
AMZN,2018,1.54
AMZN,2019,-0.78
MCD,2009,23.34
MCD,2010,21.70
MCD,2011,26.47
MCD,2012,0.62
MCD,2013,11.86
MCD,2014,12.23
MCD,2015,14.24
MCD,2016,10.88
MCD,2017,35.32
MCD,2018,7.83
MCD,2019,24.66
KO,2009,40.30
KO,2010,15.14
KO,2011,11.24
KO,2012,2.19
KO,2013,16.90
KO,2014,16.43
KO,2015,5.95
KO,2016,6.23
KO,2017,8.09
KO,2018,12.08
KO,2019,10.42
PG,2009,34.74
PG,2010,4.57
PG,2011,15.11
PG,2012,6.20
PG,2013,1.54
PG,2014,7.61
PG,2015,9.02
PG,2016,2.43
PG,2017,11.45
PG,2018,19.35
PG,2019,12.91
UNH,2009,40.85
UNH,2010,20.68
UNH,2011,26.26
UNH,2012,7.07
UNH,2013,41.83
UNH,2014,32.71
UNH,2015,-0.92
UNH,2016,39.44
UNH,2017,34.78
UNH,2018,1.07
UNH,2019,18.30
JNJ,2009,23.17
JNJ,2010,8.93
JNJ,2011,17.10
JNJ,2012,10.03
JNJ,2013,25.93
JNJ,2014,18.37
JNJ,2015,4.93
JNJ,2016,18.26
JNJ,2017,16.63
JNJ,2018,-1.46
JNJ,2019,6.41
BRK-A,2009,7.86
BRK-A,2010,-3.34
BRK-A,2011,-5.40
BRK-A,2012,2.13
BRK-A,2013,8.51
BRK-A,2014,26.11
BRK-A,2015,-9.29
BRK-A,2016,10.90
BRK-A,2017,7.90
BRK-A,2018,2.70
BRK-A,2019,8.67
JPM,2009,60.63
JPM,2010,26.95
JPM,2011,-14.22
JPM,2012,34.02
JPM,2013,26.21
JPM,2014,20.35
JPM,2015,13.66
JPM,2016,54.50
JPM,2017,11.59
JPM,2018,10.68
JPM,2019,39.70
AAPL,2009,112.11
AAPL,2010,43.36
AAPL,2011,4.72
AAPL,2012,38.85
AAPL,2013,32.57
AAPL,2014,22.44
AAPL,2015,-12.79
AAPL,2016,20.35
AAPL,2017,24.47
AAPL,2018,34.92
AAPL,2019,66.66
MSFT,2009,66.00
MSFT,2010,19.22
MSFT,2011,10.94
MSFT,2012,3.40
MSFT,2013,29.22
MSFT,2014,17.84
MSFT,2015,31.78
MSFT,2016,19.81
MSFT,2017,31.02
MSFT,2018,20.54
MSFT,2019,45.80
FB,2012,15.31
FB,2013,115.69
FB,2014,11.75
FB,2015,34.55
FB,2016,8.91
FB,2017,28.11
FB,2018,-14.20
FB,2019,34.63
GOOG,2012,11.88
GOOG,2013,43.90
GOOG,2014,4.15
GOOG,2015,31.07
GOOG,2016,2.92
GOOG,2017,15.83
GOOG,2018,-11.88
GOOG,2019,13.69
AMT,2012,13.33
AMT,2013,7.11
AMT,2014,24.97
AMT,2015,3.65
AMT,2016,34.24
AMT,2017,36.00
AMT,2018,20.43
AMT,2019,28.60
SPG,2012,4.68
SPG,2013,-3.38
SPG,2014,23.38
SPG,2015,11.86
SPG,2016,14.12
SPG,2017,3.26
SPG,2018,33.63
SPG,2019,-10.77
SPG,2009,9.60
SPG,2010,9.60
SPG,2011,9.60
FB,2009,29.34
FB,2010,29.34
FB,2011,29.34
AMT,2009,21.04
AMT,2010,21.04
AMT,2011,21.04
GOOG,2009,13.94555189
GOOG,2010,13.94555189
GOOG,2011,13.94555189
